trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
663,08:36:00,08:36:00,70121,19,,0,0,88451.7960011554,1,,,,,1,1,,,,,,,,,,,
663,08:40:00,08:40:00,70111,20,,0,0,91788.4270091757,1,,,,,1,1,,,,,,,,,,,
663,08:49:00,08:49:00,70061,21,,0,0,101907.49852472,1,,,,,1,1,,,,,,,,,,,
663,09:02:00,09:02:00,70021,22,,0,0,121113.761218332,1,,,,,1,1,,,,,,,,,,,
663,09:08:00,09:08:00,70011,23,,0,0,123664.28990311,1,,,,,1,1,,,,,,,,,,,
661,06:21:00,06:21:00,70321,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
661,06:30:00,06:30:00,70311,2,,0,0,9881.41415529861,1,,,,,1,1,,,,,,,,,,,
661,06:36:00,06:36:00,70301,3,,0,0,15979.1132025303,1,,,,,1,1,,,,,,,,,,,
661,06:51:00,06:51:00,70291,4,,0,0,35028.5394559437,1,,,,,1,1,,,,,,,,,,,
661,06:57:00,06:57:00,70281,5,,0,0,40330.9714799222,1,,,,,1,1,,,,,,,,,,,
661,07:04:00,07:04:00,70271,6,,0,0,45318.2226933606,1,,,,,1,1,,,,,,,,,,,
661,07:11:00,07:11:00,70261,7,,0,0,48219.5593911282,1,,,,,1,1,,,,,,,,,,,
661,07:22:00,07:22:00,70221,8,,0,0,61410.8024022214,1,,,,,1,1,,,,,,,,,,,
661,07:27:00,07:27:00,70211,9,,0,0,65727.8855409828,1,,,,,1,1,,,,,,,,,,,
661,07:35:00,07:35:00,70171,10,,0,0,75320.4515398567,1,,,,,1,1,,,,,,,,,,,
661,07:42:00,07:42:00,70141,11,,0,0,82931.590607057,1,,,,,1,1,,,,,,,,,,,
661,07:48:00,07:48:00,70121,12,,0,0,88407.9509326396,1,,,,,1,1,,,,,,,,,,,
661,07:52:00,07:52:00,70111,13,,0,0,91740.0555153539,1,,,,,1,1,,,,,,,,,,,
661,07:55:00,07:55:00,70101,14,,0,0,93087.5649306265,1,,,,,1,1,,,,,,,,,,,
661,07:58:00,07:58:00,70091,15,,0,0,95225.2940283898,1,,,,,1,1,,,,,,,,,,,
661,08:02:00,08:02:00,70081,16,,0,0,97549.7108825659,1,,,,,1,1,,,,,,,,,,,
661,08:07:00,08:07:00,70061,17,,0,0,101872.499058048,1,,,,,1,1,,,,,,,,,,,
661,08:11:00,08:11:00,70051,18,,0,0,106024.96585282,1,,,,,1,1,,,,,,,,,,,
661,08:15:00,08:15:00,70041,19,,0,0,108993.867456447,1,,,,,1,1,,,,,,,,,,,
661,08:22:00,08:22:00,70031,20,,0,0,115669.051825462,1,,,,,1,1,,,,,,,,,,,
661,08:27:00,08:27:00,70021,21,,0,0,121087.515501571,1,,,,,1,1,,,,,,,,,,,
661,08:33:00,08:33:00,70011,22,,0,0,123610.66130163,1,,,,,1,1,,,,,,,,,,,
655,06:03:00,06:03:00,70271,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
655,06:10:00,06:10:00,70261,2,,0,0,2898.26431637197,1,,,,,1,1,,,,,,,,,,,
655,06:21:00,06:21:00,70221,3,,0,0,16089.5073274651,1,,,,,1,1,,,,,,,,,,,
655,06:26:00,06:26:00,70211,4,,0,0,20406.5904662266,1,,,,,1,1,,,,,,,,,,,
655,06:34:00,06:34:00,70171,5,,0,0,29999.1564651005,1,,,,,1,1,,,,,,,,,,,
655,06:41:00,06:41:00,70141,6,,0,0,37610.2955323009,1,,,,,1,1,,,,,,,,,,,
655,06:47:00,06:47:00,70121,7,,0,0,43086.6558578834,1,,,,,1,1,,,,,,,,,,,
655,06:51:00,06:51:00,70111,8,,0,0,46418.7604405978,1,,,,,1,1,,,,,,,,,,,
655,06:54:00,06:54:00,70101,9,,0,0,47766.2698558703,1,,,,,1,1,,,,,,,,,,,
655,06:57:00,06:57:00,70091,10,,0,0,49903.9989536336,1,,,,,1,1,,,,,,,,,,,
655,07:01:00,07:01:00,70081,11,,0,0,52228.4158078098,1,,,,,1,1,,,,,,,,,,,
655,07:06:00,07:06:00,70061,12,,0,0,56551.2039832922,1,,,,,1,1,,,,,,,,,,,
655,07:10:00,07:10:00,70051,13,,0,0,60703.6707780637,1,,,,,1,1,,,,,,,,,,,
655,07:14:00,07:14:00,70041,14,,0,0,63672.5723816911,1,,,,,1,1,,,,,,,,,,,
655,07:21:00,07:21:00,70031,15,,0,0,70347.7567507058,1,,,,,1,1,,,,,,,,,,,
655,07:26:00,07:26:00,70021,16,,0,0,75766.2204268145,1,,,,,1,1,,,,,,,,,,,
655,07:32:00,07:32:00,70011,17,,0,0,78289.36622687,1,,,,,1,1,,,,,,,,,,,
691,18:39:00,18:39:00,70271,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
691,18:46:00,18:46:00,70261,2,,0,0,2898.26431637197,1,,,,,1,1,,,,,,,,,,,
691,18:52:00,18:52:00,70241,3,,0,0,7055.196573615,1,,,,,1,1,,,,,,,,,,,
691,18:58:00,18:58:00,70231,4,,0,0,12942.9037995525,1,,,,,1,1,,,,,,,,,,,
691,19:02:00,19:02:00,70221,5,,0,0,16130.7439787489,1,,,,,1,1,,,,,,,,,,,
691,19:07:00,19:07:00,70211,6,,0,0,20441.5574996149,1,,,,,1,1,,,,,,,,,,,
691,19:10:00,19:10:00,70201,7,,0,0,23549.0482704972,1,,,,,1,1,,,,,,,,,,,
691,19:15:00,19:15:00,70191,8,,0,0,27489.6035877303,1,,,,,1,1,,,,,,,,,,,
691,19:19:00,19:19:00,70171,9,,0,0,30037.5499071783,1,,,,,1,1,,,,,,,,,,,
691,19:23:00,19:23:00,70161,10,,0,0,32053.0413461094,1,,,,,1,1,,,,,,,,,,,
691,19:28:00,19:28:00,70141,11,,0,0,37656.5615596196,1,,,,,1,1,,,,,,,,,,,
691,19:33:00,19:33:00,70131,12,,0,0,41151.0961900242,1,,,,,1,1,,,,,,,,,,,
691,19:36:00,19:36:00,70121,13,,0,0,43136.6165744226,1,,,,,1,1,,,,,,,,,,,
691,19:40:00,19:40:00,70111,14,,0,0,46473.2475824428,1,,,,,1,1,,,,,,,,,,,
691,19:49:00,19:49:00,70061,15,,0,0,56592.3190979875,1,,,,,1,1,,,,,,,,,,,
691,20:02:00,20:02:00,70021,16,,0,0,75798.5817915989,1,,,,,1,1,,,,,,,,,,,
691,20:09:00,20:09:00,70011,17,,0,0,78349.11047636,1,,,,,1,1,,,,,,,,,,,
673,15:37:00,15:37:00,70271,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
673,15:44:00,15:44:00,70261,2,,0,0,2898.26431637197,1,,,,,1,1,,,,,,,,,,,
673,15:48:00,15:48:00,70251,3,,0,0,4796.66298498058,1,,,,,1,1,,,,,,,,,,,
673,15:52:00,15:52:00,70241,4,,0,0,7049.08092559169,1,,,,,1,1,,,,,,,,,,,
673,15:58:00,15:58:00,70231,5,,0,0,12936.7881515292,1,,,,,1,1,,,,,,,,,,,
673,16:02:00,16:02:00,70221,6,,0,0,16124.6283307256,1,,,,,1,1,,,,,,,,,,,
673,16:07:00,16:07:00,70211,7,,0,0,20435.4418515916,1,,,,,1,1,,,,,,,,,,,
673,16:10:00,16:10:00,70201,8,,0,0,23542.9326224739,1,,,,,1,1,,,,,,,,,,,
673,16:15:00,16:15:00,70191,9,,0,0,27483.487939707,1,,,,,1,1,,,,,,,,,,,
673,16:19:00,16:19:00,70171,10,,0,0,30031.434259155,1,,,,,1,1,,,,,,,,,,,
673,16:23:00,16:23:00,70161,11,,0,0,32046.9256980861,1,,,,,1,1,,,,,,,,,,,
673,16:28:00,16:28:00,70141,12,,0,0,37650.4459115963,1,,,,,1,1,,,,,,,,,,,
673,16:33:00,16:33:00,70131,13,,0,0,41144.9805420009,1,,,,,1,1,,,,,,,,,,,
673,16:36:00,16:36:00,70121,14,,0,0,43130.5009263992,1,,,,,1,1,,,,,,,,,,,
